,WEO Country Code,ISO,WEO Subject Code,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
396,193,AUS,NGDP_R,Australia,1758.917,1807.84,1876.404,1918.221,1967.904,2014.204,2068.995,2119.01,2178.934,2218.72,2172.089,2291.104,2380.802,2427.438,2457.321,2509.357,2565.578,2622.133,2682.122,2745.098
397,193,AUS,NGDP_RPCH,Australia,2.424,2.781,3.793,2.229,2.59,2.353,2.72,2.417,2.828,1.826,-2.102,5.479,3.915,1.959,1.231,2.118,2.24,2.204,2.288,2.348
398,193,AUS,NGDP,Australia,1364.535,1468.292,1516.049,1569.69,1614.45,1640.23,1698.731,1803.229,1897.077,1996.036,1976.801,2206.018,2480.784,2618.157,2724.023,2841.833,2980.222,3116.186,3259.825,3411.832
399,193,AUS,NGDPD,Australia,1254.689,1515.589,1570.323,1520.13,1457.357,1234.457,1263.667,1382.668,1419.28,1388.092,1364.828,1658.439,1724.034,1740.622,1802.006,1881.14,1965.385,2040.963,2125.575,2219.941
400,193,AUS,PPPGDP,Australia,907.992,952.503,1007.035,1046.999,1092.825,1128.917,1170.645,1220.416,1290.175,1367.848,1381.255,1557.171,1733.499,1831.059,1897.885,1973.284,2054.934,2138.824,2227.852,2321.979
401,193,AUS,NGDP_D,Australia,77.578,81.218,80.795,81.831,82.039,81.433,82.104,85.098,87.064,89.963,91.009,96.286,104.2,107.857,110.853,113.249,116.162,118.842,121.539,124.288
402,193,AUS,NGDPRPC,Australia,79328.874,80269.256,81838.892,82334.937,83243.505,83979.12,84846.814,85585.381,86650.834,86938.845,84745.605,88901.178,90471.213,90015.834,89954.568,90680.58,91522.443,92430.799,93424.329,94484.102
403,193,AUS,NGDPRPPPPC,Australia,53916.651,54555.791,55622.609,55959.751,56577.268,57077.236,57666.973,58168.947,58893.093,59088.842,57598.185,60422.561,61489.651,61180.148,61138.508,61631.95,62204.13,62821.503,63496.765,64217.051
404,193,AUS,NGDPPC,Australia,61541.861,65193.107,66122.099,67375.098,68292.191,68386.852,69662.766,72831.2,75442.076,78213.142,77126.304,85599.606,94270.56,97088.2,99717.647,102695.278,106314.151,109846.28,113547.007,117432.559
405,193,AUS,NGDPDPC,Australia,56587.694,67293.136,68489.256,65247.836,61647.05,51468.795,51821.355,55845.011,56441.271,54391.307,53249.731,64352.012,65513.824,64546.866,65965.622,67978.737,70111.641,71944.415,74038.536,76408.601
406,193,AUS,PPPPC,Australia,40951.336,42291.726,43921.566,44939.863,46227.137,47068.446,48006.646,49291.76,51307.076,53598.066,53890.665,60422.561,65873.491,67900.529,69475.413,71308.542,73306.143,75394.02,77601.084,79920.67
407,193,AUS,NGAP_NPGDP,Australia,-0.995,-1.116,-0.445,-0.923,-1.07,-1.458,-1.086,-1.018,-0.678,-1.01,-3.787,-0.568,1.299,1.188,0.128,-0.191,,,,
408,193,AUS,PPPSH,Australia,1.036,1.026,1.032,1.021,1.013,1.004,1,0.987,0.981,0.981,0.993,1.002,1.006,0.994,0.975,0.965,0.956,0.947,0.94,0.934
409,193,AUS,PPPEX,Australia,1.503,1.542,1.505,1.499,1.477,1.453,1.451,1.478,1.47,1.459,1.431,1.417,1.431,1.43,1.435,1.44,1.45,1.457,1.463,1.469
410,193,AUS,NID_NGDP,Australia,26.305,26.836,28.442,27.079,26.436,25.883,24.675,24.277,24.172,22.55,22.3,23.313,23.722,23.981,24.149,23.928,24.028,24.121,24.156,24.2
411,193,AUS,NGSD_NGDP,Australia,23.045,23.836,23.783,23.822,23.253,21.654,20.872,21.977,21.908,23.061,24.567,26.19,24.766,24.155,23.263,22.791,22.726,22.855,22.866,22.905
412,193,AUS,PCPI,Australia,96.1,99.325,101,103.475,106.075,107.65,109.025,111.2,113.35,115.125,116.175,119.425,127.325,134.475,138.932,143.475,147.712,151.47,155.207,159.045
413,193,AUS,PCPIPCH,Australia,2.863,3.356,1.686,2.45,2.513,1.485,1.277,1.995,1.933,1.566,0.912,2.798,6.615,5.616,3.315,3.27,2.953,2.544,2.467,2.473
414,193,AUS,PCPIE,Australia,97,99.9,102,104.7,106.5,108.3,109.8,112.1,114,116.1,117.2,121.4,130.9,136.2,140.29,145.335,149.151,152.9,156.603,160.475
415,193,AUS,PCPIEPCH,Australia,2.646,2.99,2.102,2.647,1.719,1.69,1.385,2.095,1.695,1.842,0.947,3.584,7.825,4.049,3.003,3.596,2.625,2.513,2.422,2.473
416,193,AUS,TM_RPCH,Australia,16.275,10.232,6.569,-2.304,-1.474,2.062,0.238,7.75,4.634,-1.045,-11.839,4.815,13.472,6.446,5.125,2.038,2.759,2.422,2.422,2.422
417,193,AUS,TMG_RPCH,Australia,15.594,10.074,5.997,-3.409,0.027,2.773,0.302,7.83,4.262,-1.242,-2.088,9.745,6.965,0.615,4.629,2.155,3.029,2.422,2.422,2.422
418,193,AUS,TX_RPCH,Australia,5.604,-0.259,5.718,5.83,6.973,6.189,6.818,3.372,5.135,3.098,-9.646,-2.443,2.573,6.719,2.075,3.777,2.74,2.738,2.763,2.945
419,193,AUS,TXG_RPCH,Australia,7.468,0.415,7.299,6.24,6.905,5.527,7.269,2.051,4.62,1.723,-4.118,0.672,0.333,1.717,0.963,3.275,2.677,2.719,2.748,2.969
420,193,AUS,LUR,Australia,5.208,5.083,5.233,5.658,6.058,6.058,5.717,5.608,5.283,5.175,6.475,5.125,3.725,3.692,4.15,4.404,4.465,4.515,4.545,4.524
421,193,AUS,LE,Australia,11.022,11.214,11.351,11.458,11.531,11.758,11.957,12.214,12.533,12.82,12.596,12.978,13.559,14.018,14.312,14.506,,,,
422,193,AUS,LP,Australia,22.172,22.522,22.928,23.298,23.64,23.985,24.385,24.759,25.146,25.52,25.631,25.771,26.316,26.967,27.317,27.672,28.032,28.369,28.709,29.054
423,193,AUS,GGR,Australia,434.374,466.635,500.272,526.631,546.005,565.239,591.845,631.484,674.643,687.822,704.799,779.673,877.58,951.526,990.248,1022.583,1072.138,1126.591,1179.391,1234.249
424,193,AUS,GGR_NGDP,Australia,31.833,31.781,32.998,33.55,33.82,34.461,34.84,35.02,35.562,34.459,35.653,35.343,35.375,36.343,36.352,35.983,35.975,36.153,36.18,36.176
425,193,AUS,GGX,Australia,504.175,533.086,553.461,570.732,593.105,610.924,632.995,662.429,698.488,775.734,877.149,919.824,931.823,973.959,1035.501,1080.637,1110.818,1155.999,1210.638,1268.078
426,193,AUS,GGX_NGDP,Australia,36.948,36.307,36.507,36.36,36.737,37.246,37.263,36.736,36.819,38.864,44.372,41.696,37.562,37.2,38.014,38.026,37.273,37.097,37.138,37.167
427,193,AUS,GGXCNL,Australia,-69.802,-66.451,-53.189,-44.102,-47.1,-45.685,-41.15,-30.945,-23.845,-87.913,-172.351,-140.151,-54.244,-22.434,-45.253,-58.054,-38.68,-29.408,-31.248,-33.829
428,193,AUS,GGXCNL_NGDP,Australia,-5.115,-4.526,-3.508,-2.81,-2.917,-2.785,-2.422,-1.716,-1.257,-4.404,-8.719,-6.353,-2.187,-0.857,-1.661,-2.043,-1.298,-0.944,-0.959,-0.992
429,193,AUS,GGSB,Australia,-67.048,-64.317,-56.975,-52.102,-53.617,-51.55,-46.873,-35.599,-28.027,-91.737,-168.652,-138.037,-68.535,-45.075,-67.022,-78.73,-59.429,-51.867,-56.002,-60.78
430,193,AUS,GGSB_NPGDP,Australia,-4.865,-4.332,-3.752,-3.296,-3.29,-3.106,-2.736,-1.96,-1.474,-4.565,-8.239,-6.248,-2.808,-1.745,-2.468,-2.774,-1.994,-1.664,-1.718,-1.782
431,193,AUS,GGXONLB,Australia,-66.601,-59.965,-43.445,-32.543,-33.556,-30.66,-25.828,-15.275,-7.818,-71.499,-154.577,-121.477,-35.65,0.393,-13.823,-21.855,-1.367,8.79,7.453,5.426
432,193,AUS,GGXONLB_NGDP,Australia,-4.881,-4.084,-2.866,-2.073,-2.078,-1.869,-1.52,-0.847,-0.412,-3.582,-7.82,-5.507,-1.437,0.015,-0.507,-0.769,-0.046,0.282,0.229,0.159
433,193,AUS,GGXWDN,Australia,85.995,155.174,209.019,251.439,307.574,362.179,396.928,419.98,456.538,555.53,711.805,784.3,781.5,772.263,804.358,867.488,894.28,909.439,924.786,939.406
434,193,AUS,GGXWDN_NGDP,Australia,6.302,10.568,13.787,16.018,19.051,22.081,23.366,23.29,24.065,27.832,36.008,35.553,31.502,29.496,29.528,30.526,30.007,29.184,28.369,27.534
435,193,AUS,GGXWDG,Australia,277.663,352.965,417.19,478.157,549.341,618.521,689.483,742.011,791,931.337,1126.754,1223.234,1246.921,1283.129,1343.849,1408.288,1453.656,1490.06,1528.127,1568.589
436,193,AUS,GGXWDG_NGDP,Australia,20.349,24.039,27.518,30.462,34.027,37.709,40.588,41.149,41.696,46.659,56.999,55.45,50.263,49.009,49.333,49.556,48.777,47.817,46.878,45.975
437,193,AUS,NGDP_FY,Australia,1364.535,1468.292,1516.049,1569.69,1614.45,1640.23,1698.731,1803.229,1897.077,1996.036,1976.801,2206.018,2480.784,2618.157,2724.023,2841.833,2980.222,3116.186,3259.825,3411.832
438,193,AUS,BCA,Australia,-46.21,-44.971,-68.209,-51.142,-44.416,-57.022,-41.505,-35.476,-31.736,4.828,29.737,47.925,14.95,4.395,-15.774,-21.396,-25.585,-25.84,-27.415,-28.731
