col,explanation
NGDP_R,"명목 GDP(국내총생산, Gross Domestic Product) 실질 수치"
NGDP_RPCH,명목 GDP의 실질 연간 성장률(%)
NGDP,명목 GDP(달러 기준)
NGDPD,명목 GDP (Domestic 기준의 달러화)
PPPGDP,"구매력평가(Purchasing Power Parity, PPP)에 기반한 GDP"
NGDP_D,GDP 디플레이터 (GDP Deflator)
NGDPRPC,1인당 실질 GDP
NGDPRPPPPC,PPP 기준 1인당 실질 GDP
NGDPPC,1인당 명목 GDP
NGDPDPC,달러 기준 1인당 명목 GDP
PPPPC,PPP 기준 1인당 GDP
NGAP_NPGDP,국가 자산비율 (Net Worth/GDP)와 관련된 지표(NULL)
PPPSH,PPP 비율의 점유율 지표
PPPEX,PPP 기준 교역 지표
NID_NGDP,순 이자 차입(Net Interest Differential)/GDP 비율
NGSD_NGDP,순 정부 저축(Net Government Saving)/GDP 비율
PCPI,소비자 물가지수 (Consumer Price Index)
PCPIPCH,소비자 물가지수 연간 변동률
PCPIE,예상 소비자 물가지수
PCPIEPCH,예상 소비자 물가지수 연간 변동률
TM_RPCH,수출 실질 성장률
TMG_RPCH,총교역 실질 성장률
TX_RPCH,수출 연간 실질 성장률
TXG_RPCH,총수출 연간 실질 성장률
LUR,실업률 (Unemployment Rate)(NULL)
LE,기대수명 (Life Expectancy)(NULL)
LP,노동생산성 (Labor Productivity)
GGR,총 정부 수익 (Gross Government Revenue)
GGR_NGDP,GDP 대비 총 정부 수익 비율
GGX,총 정부 지출 (Gross Government Expenditure)
GGX_NGDP,GDP 대비 총 정부 지출 비율
GGXCNL,순 정부 대출(Net Lending) 또는 순 차입
GGXCNL_NGDP,GDP 대비 순 정부 대출 비율
GGSB,정부 예산수지(Government Budget Surplus)
GGSB_NPGDP,GDP 대비 정부 예산수지 비율(NULL)
GGXONLB,비금융 부문의 총 정부 지출(NULL)
GGXONLB_NGDP,GDP 대비 비금융 부문 지출 비율(NULL)
GGXWDN,정부 총 지출의 순금액(NULL)
GGXWDN_NGDP,GDP 대비 정부 총 지출의 순금액 비율(NULL)
GGXWDG,총 정부 지출 금액
GGXWDG_NGDP,GDP 대비 총 정부 지출 금액
NGDP_FY,금융연도(Fiscal Year) 기준 GDP
BCA,경상수지(Balance of Current Account)
BCA_NGDPD,명목 GDP 대비 경상수지 비율
